participant_id	K_2T0D_1	K_2T0D_2	K_2T0D_3	K_4T0D_1	K_4T0D_2	K_4T0D_3	K_filter_1	K_filter_2	K_filter_3	suppress_rt_1	suppress_rt_2	suppress_rt_3	Kmax_1	Kmax_2	Kmax_3	spatial_span_B_1	spatial_span_B_2	spatial_span_B_3	spatial_span_F_1	spatial_span_F_2	spatial_span_F_3	digitalspan_F_1	digitalspan_F_2	digitalspan_F_3	digitalspan_B_1	digitalspan_B_2	digitalspan_B_3
sub-11	1.56	1.82	1.84	2.8	3.42	3.2	1	1.72	1.33	86.95	35.52	23.63	1.8	3.6	2.7	4	8	8	6	6	8	10	10	12	8	10	9
sub-12	1.69	1.54	1.67	2.36	2.18	2.36	0.71	0.78	0.84	67.98	97.02	6.78	2.7	2.4	2.1	7	7	10	6	5	8	13	13	13	6	9	9
sub-13	1.92	1.98	2	1.82	3.07	3.69	0.13	1.22	1.73	127.67	63.5	23.75	2	2.8	2.8	6	13	13	6	8	7	9	10	10	7	9	9
sub-14	1.62	1.8	1.87	1.82	3.16	3.47	0.36	1.72	1.62	78.6	-50.55	0.24	2	2.1	1.6	4	5	7	5	5	7	9	8	9	5	7	6
sub-15	1.84	1.87	1.64	1.51	2.8	2.93	-0.4	1.07	1.31	123.33	17.67	-6.93	2.4	2.1	3.2	5	10	11	7	6	8	11	10	11	9	8	10
sub-16	1.84	2	1.64	2.09	3.64	3.29	0.29	1.8	1.82	145.7	16.02	44.05	1	1.8	1.8	6	8	10	5	7	8	9	10	10	5	5	6
sub-17	1.93	1.91	1.91	3.6	3.69	3.29	1.67	1.84	1.36	57.18	69.72	61.33	2.8	3.2	3.2	6	9	13	5	8	10	10	10	11	9	10	11
sub-18	1.82	1.38	1.44	2.76	2.31	1.64	1.62	0.91	0.33	144.25	92.41	58.71	2.1	2.4	3.2	5	9	6	5	7	5	10	10	11	7	8	8
sub-19	1.56	1.76	1.78	2.67	3.02	2.8	1.04	1.22	1.27	336.96	346.96	208.94	1.6	2.1	2.1	4	12	11	6	7	9	9	9	10	5	6	6
sub-20	1.84	1.84	1.98	2.84	3.07	3.56	1.02	1.13	1.67	62.76	74.38	177.18	2.1	4	2.7	5	12	14	7	7	9	11	12	12	7	7	8
sub-101	1.6	1.64	1.73	0.13	-1.47	1.24	-1.42	-3.04	-0.44	136.35	73.01	42.41	0.6	2.1	2.4	6	7	7	6	7	7	10	10	11	7	8	9
sub-102	1.36	1.87	1.82	2.04	1.16	2.53	0.98	-0.16	0.69	109.88	56.83	70.98	2.1	2	2.4	6	8	9	8	10	7	10	14	14	8	10	8
sub-103	1.82	1.84	1.2	2.53	2.49	1.91	0.87	0.78	0.89	125.01	161.52	83.52	1.6	2.1	2.1	6	6	8	6	6	7	9	8	9	6	9	6
sub-104	1.71	1.73	1.78	2.98	2.71	3.07	1.27	0.89	1.31	121.34	71.62	31.45	0.9	2.4	2.4	4	6	7	6	7	5	11	11	10	6	5	7
sub-105	1.91	1.89	0.91	2.76	3.51	2.18	1.04	1.58	0.47	87.69	98.07	-124.56	1.2	1.8	2.1	5	6	7	6	6	8	9	9	9	6	6	6
sub-106	1.89	1.91	1.91	2.62	3.24	2.98	0.78	1.44	1.14	200.97	81.56	59.16	1.2	1.4	2.1	6	6	6	6	7	7	10	10	10	6	7	7
sub-107	1.33	1.64	1.38	0.98	2.18	2.49	-0.53	0.38	1.31	129.27	93.12	94.99	0.6	2.1	1.8	4	6	4	6	7	8	10	13	11	8	8	9
sub-108	1.82	1.89	1.98	2.76	3.51	3.87	0.91	1.69	1.89	123.7	101.37	74.4	2.4	2	2.4	4	6	8	5	7	8	8	9	10	7	9	7
sub-109	1.87	1.8	1.89	2.71	2.53	3.33	0.84	0.67	1.49	135.9	38.74	30.44	1.5	2.8	3	4	5	5	5	8	9	10	10	11	10	9	9
sub-110	1.8	1.76	1.78	3.02	3.02	3.42	1.38	1.44	1.84	61.46	46.4	42.83	1.2	1.2	1.2	7	6	9	6	7	10	10	13	12	8	6	8
sub-111	1.89	1.96	1.8	3.51	3.29	3.56	1.67	1.38	1.73	105.06	62.56	97.72	2.7	2.4	2.4	5	7	7	5	10	10	10	11	10	6	7	7
sub-112	1.78	1.8	2	3.37	3.16	3.47	1.48	1.24	1.62	156.27	39.61	82.57	3.2	2.8	3.2	4	6	10	9	9	11	12	12	13	10	10	8
sub-113	1.49	1.84	1.84	2.98	2.98	3.47	1.27	1.13	1.67	24.74	135.92	169.99	1.2	1.8	2.1	4	5	7	6	7	9	10	12	11	8	9	9
sub-114	1.38	1.91	1.73	0.76	3.2	3.02	-0.62	1.44	1.4	59.65	153.75	90.82	0.9	1.5	2.4	5	8	8	5	7	8	10	11	11	7	7	6
sub-115	1.16	1.38	1.73	1.24	2.8	1.82	0.58	1.2	0.22	122.63	146.66	100.85	0	2	1.8	4	7	6	4	6	5	9	10	10	9	9	9
sub-116	1.36	1.8	1.78	2.67	2.8	2.89	1.84	1	1.76	110.61	-117.16	147.26	2.8	0	2.8	5	6	5	5	7	7	12	10	13	6	8	6
sub-117	1.4	1.84	0.82	2.13	2.76	1.11	0.69	1.07	-0.62	87.29	-52.79	25.82	1.4	1.8	1.8	8	8	8	7	10	10	9	10	10	6	8	6
sub-118	1.76	1.53	0.62	2.62	2.62	1.2	1.04	1.07	-0.29	64.37	115.93	63.05	1.6	2	2.1	8	8	9	7	7	9	11	10	10	10	9	10
sub-119	1.71	1.78	1.82	2.18	2.22	2.4	0.64	0.49	0.76	131.75	123.62	163.3	2.4	2.8	2.1	6	6	10	5	7	9	8	9	9	8	8	9
sub-120	1.84	1.8	1.82	3.02	2.49	3.02	1.38	1.09	1.22	63.81	97.83	93.09	2.4	2	1.8	4	8	7	5	7	9	9	9	9	8	8	7
sub-201	1.89	1.87	1.87	3.07	3.33	3.33	1.2	1.67	1.91	176.34	276.12	230.34	3.2	2.7	2.7	6	6	6	5	7	6	9	9	8	9	8	7
sub-202	1.82	1.87	1.78	2.47	3.24	2.8	0.74	1.46	1.11	163.7	53.13	6.98	3.2	2	2.4	6	6	5	6	6	6	9	9	10	6	6	6
sub-203	1.73	1.96	1.6	2.67	2.89	2.44	1.22	1.22	0.64	120.08	92.88	120.97	1	2	2	6	5	6	7	6	6	11	10	12	8	8	8
sub-204	1.22	1.36	1.69	0.49	0.93	1.6	-0.09	1	0.07	163.2	3.6	68.36	2.7	1.6	2	6	6	7	6	5	5	12	13	12	7	10	7
sub-205	1.89	1.87	1.98	2.44	2.8	2.89	0.62	0.89	0.93	98.57	113.82	69.98	1.8	1.8	2	6	5	6	5	6	7	9	9	10	9	9	10
sub-206	1.8	1.93	1.82	1.24	2.27	2.09	-0.36	0.38	0.27	32.8	7.23	11.19	2	3.2	2	7	7	7	6	7	7	10	10	8	7	9	7
sub-207	1.38	1.75	1.58	1.24	2.71	2.04	-0.38	1.07	0.36	186.93	41.28	104.34	1.2	1.2	2.4	4	4	6	4	6	5	8	10	10	6	6	6
sub-208	1.49	1.49	1.58	1.33	2.4	2.36	0.44	0.78	0.87	25.7	106.2	96.28	2.4	2.7	1.8	4	7	5	3	4	5	11	13	9	7	10	5
sub-209	1.91	1.84	1.76	3.2	3.29	3.29	1.47	1.47	1.56	156.97	88.15	151.45	1.4	1.6	2.8	6	6	6	5	5	6	9	12	9	9	8	8
sub-210	1.73	1.84	1.82	3.16	3.02	2.8	1.27	1.22	0.96	261.82	71.97	48.23	2.4	1.6	2.1	6	5	5	7	5	7	12	10	13	10	10	7
sub-211	1.18	1.84	1.56	0.98	0.98	1.29	-0.4	-0.71	-0.4	105.65	52.66	27.75	1.6	2.8	1.6	5	4	5	4	5	6	9	10	10	8	7	7
sub-212	1.87	1.89	1.93	1.78	3.24	3.16	0.24	1.4	1.36	106.15	31.67	42.35	1.8	2.4	1.8	6	5	5	4	7	6	10	9	9	8	8	8
sub-213	1.82	1.82	1.93	3.38	3.16	3.47	1.58	1.31	1.53	151.99	136.3	51.59	1.8	1.4	1.8	6	6	6	5	10	8	12	10	12	7	8	7
sub-214	1.24	0.82	1.6	1.38	0.93	2	0.09	-0.36	0.38	42.2	134.27	78.72	1.8	2.1	2	5	5	5	5	6	6	9	9	12	8	8	8
sub-215	1.86	1.84	1.86	3.42	3.11	3.33	1.89	1.65	1.69	84.15	62.44	35.76	1.8	1.2	3.2	4	5	5	4	5	5	10	9	9	7	8	8
sub-216	1.53	1.69	1.71	3.07	3.24	2.93	1.42	1.51	1.38	120.98	53.53	69.95	2.4	2.4	2.1	4	4	5	5	5	5	9	8	9	9	9	10
sub-217	1.87	1.64	1.89	2.8	1.56	2.53	1.04	-0.2	0.69	151.34	237.23	141.46	2.8	2.4	1.6	5	3	3	5	5	6	11	11	11	8	7	5
sub-218	1.78	1.87	1.82	0.71	1.96	2.09	-0.84	0.04	0.73	118.95	109.29	94.32	1.8	2.1	1.4	6	5	5	4	6	5	8	9	8	6	7	7
sub-219	1.87	1.51	1.73	2.71	2.89	2.98	0.93	1.27	1.27	183.35	65.2	222.96	2.1	1.6	2.4	4	7	6	6	6	5	9	10	10	9	9	9
sub-220	1.44	1.31	1.47	2.93	1.6	2.4	1.49	0.31	1.04	34.52	106.98	143.98	1.6	2	1.8	4	5	4	4	5	5	10	10	10	8	8	9
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											

					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					

					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
