participant_id	K_2T0D_1	K_2T0D_2	K_2T0D_3	K_4T0D_1	K_4T0D_2	K_4T0D_3	K_filter_1	K_filter_2	K_filter_3	suppress_rt_1	suppress_rt_2	suppress_rt_3	Kmax_1	Kmax_2	Kmax_3	spatial_span_B_1	spatial_span_B_2	spatial_span_B_3	spatial_span_F_1	spatial_span_F_2	spatial_span_F_3	digitalspan_F_1	digitalspan_F_2	digitalspan_F_3	digitalspan_B_1	digitalspan_B_2	digitalspan_B_3
sub-01	1.53	1.73	1.71	1.51	2.27	2.98	0.02	0.47	1.13	129.76	99.77	38.78	1.2	1.5	2.4	6	6	6	5	4	5	9	11	11	8	5	6
sub-02	1.67	1.8	1.93	2.89	3.07	3.11	1.16	1.31	1.27	96.76	71.22	-0.19	1.5	2.8	2.4	5	5	8	6	5	7	10	12	13	7	10	8
sub-03	1.93	1.93	1.93	1.73	2.49	3.02	-0.16	0.64	1.18	236.92	169.31	185.59	2	2.4	2.7	7	6	8	7	8	6	9	9	10	8	8	9
sub-04	1.73	1.98	1.84	2.62	2.22	2.89	1.87	0.33	1	182.59	169.09	130.94	0.6	2	2	7	6	7	5	5	7	9	10	9	7	8	9
sub-05	1.84	1.93	1.76	2.76	3.29	3.07	0.87	1.38	1.2	95.29	-3.7	22.8	2.1	2.7	3.2	8	14	11	6	9	10	14	12	13	10	10	12
sub-06	1.78	1.87	1.91	3.02	3.07	3.24	1.4	1.2	1.4	129.57	89.56	-14.61	0.8	1.8	1.8	4	5	5	4	6	5	10	10	10	7	7	6
sub-07	1.82	1.84	1.78	2.98	2.49	3.42	1.47	0.58	1.47	128.06	55.43	44.08	1.8	1.2	2.1	7	9	10	5	8	8	11	10	12	7	7	8
sub-08	1.71	1.27	1.89	2.67	2.8	3.2	1.03	1.04	1.24	74.79	36.63	29.5	1.8	2	1.6	5	12	11	5	8	7	8	9	8	5	5	8
sub-09	1.56	1.84	1.56	2.36	2.72	3.02	0.84	1.03	1.4	37.99	41.06	126.52	1.8	3	2	4	6	7	6	6	5	9	10	11	7	7	8
sub-10	1.91	1.84	1.96	3.11	3.42	3.11	1.31	1.53	1.18	120.13	59.37	72.16	1.4	2.7	2.1	4	10	11	6	4	5	8	10	9	6	8	8
